시설명,도로명주소,경도,위도
벌꿀모텔,서울 강북구 솔샘로64길 45,127.02869328120434,37.61558704378223
담스호텔,서울 강북구 도봉로 32,127.03067159136398,37.611807799578074
여우모텔,서울 강북구 오패산로79길 21,127.02536483938457,37.63676640182813
영모텔,서울 강북구 솔샘로67길 93,127.02701900758822,37.621224920822165
영호텔,서울 강북구 4.19로 26,127.01137664667174,37.64771463880073
파레스모텔,서울 강북구 도봉로73길 23,127.02273399526352,37.63272782012915
다이너스모텔,서울 강북구 수유로 78,127.022282993042,37.636166066977
수유 우이호텔 B동,서울 강북구 도봉로95길 19,127.027613229691,37.6414113747524
9모텔,서울 강북구 도봉로6길 32,127.0318189622088,37.61194895106444
키이토,서울 강북구 한천로140길 72,127.02936987961759,37.64253808198056
모프스테이,서울 강북구 덕릉로28길 53,127.024694909441,37.6322940518194
럭셔리모텔짝,서울 강북구 오패산로79길 19,127.02547590355844,37.63686458528235
러쉬호텔,서울 강서구 강서로5나길 10-3,126.84742081906427,37.52881354179674
골든호텔,서울 강서구 마곡중앙6로 89,126.83729287935006,37.56017909335012
A호텔,서울 강서구 까치산로14길 5,126.847919273992,37.5457547791553
호텔볼,서울 강서구 강서로5나길 30,126.846623303617,37.5287782707311
소설스미스,서울 강서구 까치산로15길 25,126.84684807350479,37.54721301173145
호텔테마,서울 강서구 화곡로 176-16,126.841528806342,37.5411332630835
르아브르,서울 강서구 까치산로 83,126.847588169365,37.5460895236139
브라운도트 강서구청점,서울 강서구 화곡로44가길 39,126.848298511756,37.5495863105297
구름성모텔,서울 강서구 화곡로42가길 10,126.845664023922,37.5463032639659
유니온호텔,서울 강서구 화곡로42길 14,126.846192314125,37.5463832411122
러브레터모텔,서울 강서구 공항대로46길 60,126.85152500662024,37.553489928682225
여우잠,서울 강서구 강서로5가길 14,126.847298874425,37.5292512706033
티파니모텔,서울 강서구 송정로 61-3,126.80973566577273,37.56020097073358
리츠모텔,서울 강서구 강서로 337,126.837070255591,37.5558639150345
리치모텔,서울 강서구 곰달래로24길 26,126.847051890465,37.5294239431553
칼튼호텔,서울 강서구 화곡로 354-10,126.852545848165,37.5546156523075
거기모텔,서울 강서구 강서로5가길 30,126.846278463273,37.5292247188069
CL호텔,서울 강서구 강서로5나길 136,126.84060089720867,37.52840629160393
호텔초콜렛,서울 강서구 강서로5가길 24,126.846748987291,37.5292793903592
모텔플라워,서울 강서구 화곡로42길 10,126.84604044725613,37.54649656897091
드림호텔,서울 강서구 공항대로46길 66,126.851362664512,37.5531761774111
팰리스모텔,서울 강서구 화곡로42나길 31,126.84686032564636,37.547861746195636
샤르망모텔,서울 강서구 화곡로50길 5,126.848368315755,37.5497629957406
심플스테이 김포공항점,서울 강서구 개화동로29길 57,126.80998481259,37.5637071449334
앨리스넥스트도어,서울 강서구 강서로7길 124,126.840739845791,37.5290344766344
샤르망,서울 강서구 화곡로42길 27,126.84704250275125,37.54620684881641
랑부띠끄호텔,서울 강서구 화곡로42길 3-6,126.84608941491312,37.54689667598035
시네마호텔,서울 강서구 우장산로16길 7,126.84992050632503,37.55279863731527
호텔야자 강서구청점,서울 강서구 화곡로 248-8,126.846395475869,37.5471907998889
호텔어스,서울 강서구 강서로5가길 24-1,126.846436820369,37.5292393408269
설레임모텔,서울 강서구 화곡로42길 17,126.846582595352,37.5464414127117
대우장모텔,서울 강서구 양천로 54,126.809896964959,37.5728881363902
뱅크모텔,서울 강서구 방화동로3길 27,126.80800809109631,37.563460678303095
MS호텔,서울 강서구 곰달래로24길 30,126.846929919729,37.5293192690329
리치모텔,서울 강서구 곰달래로18길 10,126.84127242456529,37.52970013216288
호텔딘,서울 강서구 공항대로46길 64,126.8514687542056,37.553322272459205
다우스모텔,서울 강서구 까치산로15길 23,126.84691973864716,37.547030202048894
스타호텔,서울 강서구 우장산로 128,126.850087608376,37.55299256399772
스테이쉼 발산,서울 강서구 강서로 337,126.837103140637,37.5558342275133
알프스모텔,서울 강서구 화곡로 177,126.841055801792,37.5422138259953
K2모텔,서울 강서구 곰달래로 56,126.839027627155,37.529798906876
테르모호텔,서울 강서구 강서로5가길 17,126.846971345392,37.5289778434091
썸모텔,서울 강서구 공항대로 14-1,126.80886925363757,37.56131500380465
커플모텔,서울 강서구 화곡로42길 16,126.846324851012,37.5463149378108
쟈스민모텔,서울 강서구 초록마을로3길 49,126.847284528801,37.5462729349463
호텔카일 사당점,서울 관악구 남현3길 75,126.980665703525,37.4755962071465
티트리호텔,서울 관악구 승방2길 9,126.980989362808,37.4743006073653
호텔담,서울 관악구 남부순환로226길 24,126.95357572321203,37.479672043946785
넘버25 사당역점,서울 관악구 승방2길 13,126.980980290426,37.4744123311494
더엠호텔,서울 관악구 남부순환로 2082-27,126.98084081535113,37.47606656278233
ZIP호텔,서울 관악구 남부순환로224길 32,126.95298339597196,37.47950962808079
빌라드보니,서울 관악구 신림로64길 38,126.93192795905935,37.48505859707019
U호텔,서울 관악구 신림동1길 26-7,126.92820473343504,37.48616373226685
페이지나인호텔,서울 관악구 신림로66길 30,126.9314187596886,37.48549348956023
신트라호텔,서울 관악구 신림로66길 16,126.930590132887,37.485320913109
쉐르빌모텔,서울 관악구 남부순환로220길 49,126.95175136091,37.4790352005578
필름37.2호텔,서울 관악구 승방2길 29,126.980895330818,37.4750853718935
하운드호텔 서울대입구점,서울 관악구 관악로15길 17,126.951444235714,37.4801757523403
아비숑모텔,서울 관악구 관악로17길 46,126.949217462272,37.4811028555239
호텔 나이스타임,서울 관악구 신림로64길 28,126.931305029104,37.4849825518392
휠모텔,서울 관악구 남부순환로220길 16,126.9514847065241,37.48053256854667
램파트호텔,서울 관악구 승방2길 3,126.98104256840828,37.47401679774331
호텔포도,서울 관악구 신림로64길 16,126.9306447875455,37.48490738242041
메트로21호텔,서울 관악구 승방2길 7,126.981002965402,37.4741564479445
호텔더라움,서울 관악구 승방2길 29,126.980894200526,37.4750844707008
더메이,서울 관악구 신림로64길 42,126.93211452289678,37.4850551003867
중앙여인숙,서울 관악구 행운1마길 21,126.955361176222,37.4830497133509
호텔르네상스,서울 관악구 신림로64길 12,126.930436768888,37.4848811308952
봄모텔 신림점,서울 관악구 호암로 595,126.933254676691,37.47058013365988
타워모텔,서울 관악구 남부순환로181길 43,126.930471484005,37.4864633216281
호텔야자 신림1호점,서울 관악구 신림로66길 19,126.93067921554822,37.48558135677288
폭스호텔,서울 관악구 관악로 208-4,126.95459344308105,37.4830962732481
모아모아모텔,서울 관악구 신림동1길 13,126.9283963344609,37.48680897027581
호텔헤르츠,서울 관악구 남부순환로 1593-11,126.92728931131288,37.48454856579385
모텔그레이스,서울 관악구 난곡로 337,126.913830419652,37.4840953193824
호텔 린,서울 관악구 남부순환로220길 34,126.95142982021349,37.47973965800835
엔젤모텔,서울 관악구 봉천로53길 7,126.95414172357849,37.482217615300485
바인트리,서울 관악구 신림로65길 16-13,126.928352181335,37.4856835844538
더스토리모텔,서울 관악구 신림동1길 4,126.928033039494,37.4871646476726
바이올린,서울 관악구 남부순환로220길 31,126.95178027776609,37.47977944594652
쿨모텔,서울 관악구 신림동1길 11,126.928358950064,37.4868837312729
플라워모텔,서울 관악구 신림동1길 25-3,126.92873697535835,37.48649202142133
M모텔,서울 관악구 남부순환로181길 6,126.931142358306,37.4848238796918
실크로드모텔,서울 관악구 관천로 32,126.927901369448,37.4829874932833
아람모텔,서울 관악구 남부순환로 1593-6,126.927624148167,37.4843820848441
호텔스테이라이트,서울 관악구 승방2길 3,126.981055006687,37.4740059876097
로즈파크,서울 관악구 청룡1길 18,126.947218567583,37.4810659391306
모텔홀리데이,서울 관악구 신림로59길 28,126.928208913562,37.482976868451
스테이에비뉴,서울 관악구 신림로64길 33,126.93148672535625,37.48535657574823
리츠모텔,서울 관악구 신림로65길 16-12,126.928617935594,37.4856368928985
넘버25호텔 중곡점,서울 광진구 능동로 363,127.081768058334,37.5619486559086
호텔리오,서울 광진구 동일로 34,127.060887199081,37.5358890768806
위시앤스테이모텔,서울 광진구 광나루로 594,127.0942430737925,37.54215074131017
모텔코지,서울 광진구 용마산로 24,127.088578923054,37.5557917360456
대하모텔,서울 광진구 아차산로 583,127.104486142636,37.5457091773547
피넛호텔,서울 광진구 자양로 63,127.08451223800918,37.53343011850651
티아라모텔,서울 광진구 동일로30길 17,127.068313453616,37.5477394658041
그랜드모텔,서울 광진구 동일로 148,127.06616023482879,37.54545936280679
박스호텔,서울 광진구 아차산로 465,127.09352534299961,37.54006730003279
호텔테마,서울 광진구 광나루로14길 5,127.069159972477,37.5478146569186
Q모텔,서울 광진구 동일로 168,127.066995623315,37.5470374418563
시마모텔,서울 광진구 아차산로26길 39,127.06556773436199,37.539511294756565
월호텔 아차산역,서울 광진구 천호대로138길 4,127.092993955998,37.5486028835649
폼모텔,서울 광진구 아차산로 389,127.08596827713058,37.53730877551434
아미가,서울 광진구 면목로 33,127.07620587485634,37.55714736107321
모텔골드,서울 광진구 아차산로 385,127.085565358612,37.5372045521229
