정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB123000655,송파레이크파크호반써밋1차,37.484,127.14045,2025-10-31,24424,11,서울특별시,경기BIS
GGB123000656,송파레이크파크호반써밋2차,37.4833667,127.14055,2025-10-31,24425,11,서울특별시,경기BIS
GGB123000659,복정역환승센터2번승강장,37.4700333,127.1272333,2025-10-31,24500,11,서울특별시,경기BIS
GGB123000660,복정역환승센터3번승강장,37.4700333,127.1272667,2025-10-31,24503,11,서울특별시,경기BIS
GGB123000661,복정역환승센터4번승강장,37.4700333,127.1272833,2025-10-31,24506,11,서울특별시,경기BIS
GGB123000662,위례포레샤인18단지남문,37.4869833,127.1528,2025-10-31,24341,11,서울특별시,경기BIS
GGB123000663,힐스테이트센트럴위례,37.4869167,127.1534833,2025-10-31,24342,11,서울특별시,경기BIS
GGB123000664,포레나송파,37.4847,127.14915,2025-10-31,24376,11,서울특별시,경기BIS
GGB123000665,위례호반써밋,37.4847,127.1497167,2025-10-31,24381,11,서울특별시,경기BIS
GGB123000667,서울위례별초교.위례별유치원,37.47805,127.1446167,2025-10-31,24398,11,서울특별시,경기BIS
GGB123000668,북위례입구,37.4889833,127.1564833,2025-10-31,24383,11,서울특별시,경기BIS
GGB123000669,북위례입구,37.48865,127.1567333,2025-10-31,24384,11,서울특별시,경기BIS
GGB123000670,송파레이크힐아파트,37.48525,127.1431667,2025-10-31,24151,11,서울특별시,경기BIS
GGB123000671,송파레이크파크호반써밋2차정문,37.4849833,127.1433333,2025-10-31,24182,11,서울특별시,경기BIS
GGB123000672,포레나송파정문,37.4870333,127.1481833,2025-10-31,24238,11,서울특별시,경기BIS
GGB123000673,포레나송파정문,37.4872667,127.1490167,2025-10-31,24336,11,서울특별시,경기BIS
GGB123000674,한강극동아파트후문,37.5308,127.1124833,2025-10-31,24915,11,서울특별시,경기BIS
GGB123000675,토성초등학교.한강극동아파트,37.5299333,127.1144,2025-10-31,24916,11,서울특별시,경기BIS
GGB123000676,풍납2동주민센터,37.5288333,127.1168333,2025-10-31,24917,11,서울특별시,경기BIS
GGB123000678,덕수고등학교,37.4853,127.1460167,2025-10-31,24405,11,서울특별시,경기BIS
GGB123000679,덕수고등학교,37.4852167,127.1462333,2025-10-31,24423,11,서울특별시,경기BIS
GGB123000680,포레나송파후문,37.4843667,127.1479667,2025-10-31,24198,11,서울특별시,경기BIS
GGB123000681,송파위례리슈빌,37.4843,127.14725,2025-10-31,24428,11,서울특별시,경기BIS
GGB123000682,송례중학교.송파꿈에그린,37.4779333,127.1415,2025-10-31,24399,11,서울특별시,경기BIS
GGB123000683,송례중학교.위례아이파크,37.4780333,127.1418667,2025-10-31,24509,11,서울특별시,경기BIS
GGB123000684,거여1동주민센터,37.4964167,127.1456833,2025-10-31,24306,11,서울특별시,경기BIS
GGB123000685,성내천공원,37.5007667,127.1476167,2025-10-31,24304,11,서울특별시,경기BIS
GGB123000686,풍납초등학교,37.53395,127.1185167,2025-10-31,24904,11,서울특별시,경기BIS
GGB123000687,풍납백제문화공원,37.53505,127.1146833,2025-10-31,24907,11,서울특별시,경기BIS
GGB123000688,마천터널,37.50425,127.15015,2025-10-31,24908,11,서울특별시,경기BIS
GGB123000691,가락근린공원.경찰병원,37.4970833,127.1253167,2025-10-31,0,11,서울특별시,경기BIS
GGB123000692,가락근린공원.경찰병원,37.4972167,127.1249333,2025-10-31,24910,11,서울특별시,경기BIS
GGB123900007,송파호반베르디움더퍼스트,37.5069333,127.1409,2025-10-31,24511,11,서울특별시,경기BIS
GGB123900009,세륜중학교,37.5077333,127.1328,2025-10-31,24513,11,서울특별시,경기BIS
GGB123900010,오금공원,37.5061667,127.1317833,2025-10-31,24514,11,서울특별시,경기BIS
GGB123900011,오금역.오금고교,37.5029833,127.12885,2025-10-31,24515,11,서울특별시,경기BIS
GGB123900019,오금역.오금고교,37.5024833,127.1288667,2025-10-31,24523,11,서울특별시,경기BIS
GGB123900020,오금공원,37.5053833,127.1316333,2025-10-31,24524,11,서울특별시,경기BIS
GGB123900021,세륜중학교,37.507,127.1327667,2025-10-31,24525,11,서울특별시,경기BIS
GGB123900022,송파호반베르디움더퍼스트,37.5065667,127.1408,2025-10-31,24526,11,서울특별시,경기BIS
GGB123900041,송파레이크파크호반써밋1차후문,37.4853833,127.1402,2025-10-31,24546,11,서울특별시,경기BIS
GGB123900042,송파레이크파크호반써밋1차후문,37.4850833,127.1401667,2025-10-31,24552,11,서울특별시,경기BIS
GGB124000001,강동공영차고지,37.5641,127.1738667,2025-10-31,25101,11,서울특별시,경기BIS
GGB124000002,강동공영차고지,37.5639667,127.1740167,2025-10-31,25102,11,서울특별시,경기BIS
